UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,mode
8.0088625,7.775926,2.4817393,-1.2382625,6.6451945,0.72470605,2.776213,8.401725,5.0075655,5.4445796,7.1307793,3.7545526,0
7.91479,6.8086667,2.1829808,0.36890537,5.4541,0.48716286,2.9697568,7.149653,5.130163,5.766284,7.1772714,3.677243,1
7.976366,6.783559,2.7270508,0.31112263,5.5716553,0.8917489,3.265183,7.1373606,5.263759,5.570251,6.957529,3.9292188,0
7.9318056,7.116008,1.9852548,0.056204826,5.7398577,0.4518848,2.732105,7.537486,5.0226274,5.817579,7.2068253,3.658467,0
8.989627,6.7951384,2.8958561,-0.17967714,6.3669963,0.5392301,2.7771294,7.809639,5.2154617,5.66421,7.221994,3.255118,1
8.618808,7.318102,3.402006,-1.0008831,6.435772,0.86030424,2.2437198,8.020423,6.5447197,4.960281,6.614963,3.386311,0
9.515268,6.9277277,3.986243,0.30906913,6.8463535,1.9493511,1.4292157,8.395208,4.7687826,5.6535277,7.0347695,4.438995,0
8.129653,6.5852437,2.0729554,1.835129,5.1358757,1.1983439,3.8679903,6.72557,5.608558,6.0121346,6.232332,4.4626117,1
8.519259,7.6538496,2.4513786,-1.1966747,7.012851,0.5726555,3.105662,8.5601635,4.45717,5.8890824,7.471841,3.4039054,0
8.020284,7.958713,2.6675608,-0.62551045,6.645851,1.4175748,3.1290257,8.363423,5.669862,5.4629908,6.3757334,4.31146,1
8.051373,6.7804017,1.654993,2.2062633,5.10823,1.3467289,3.741948,6.8670554,5.5201497,6.1970887,5.998699,4.7910333,1
7.702991,7.845903,2.1666205,-0.2965365,6.094823,1.1957527,2.433017,8.127674,5.684411,5.3713098,6.42822,4.4479694,1
8.267824,6.9792824,1.7185868,0.82425344,5.752358,0.6424134,3.102543,7.4817104,4.769609,6.1601315,7.0334787,3.9628565,1
8.597392,6.780397,2.9934738,-0.13958308,5.9411397,0.5882183,2.5038488,7.485511,5.8469324,5.391917,6.9805937,3.3240027,0
8.92064,7.2516,3.6421158,-0.9861783,6.5671935,0.8795187,2.3102875,8.030903,6.7794724,4.9393477,6.5468245,3.2078915,0
8.191704,7.755253,2.4182584,-1.1804707,6.757892,0.6628797,2.8544838,8.454679,4.9006896,5.6125393,7.19958,3.6134124,0
8.047022,8.065459,2.0940433,-0.15805146,6.5176735,1.3700547,2.7228408,8.400227,5.6265707,5.795688,6.3490906,4.324429,1
8.349031,6.525798,2.2437446,0.8605487,5.450739,0.5642281,3.050481,7.118025,5.1730857,5.704395,6.960767,3.9033678,1
9.243185,7.119041,3.8344407,-0.0014180792,6.783429,1.8057729,1.5808758,8.397484,5.1867857,5.4426584,6.8474917,4.374088,1
8.0193205,6.7085357,1.8181039,1.9586974,5.0935616,1.2182369,3.5570698,6.83999,5.4453335,6.134802,6.2506237,4.5793023,0
7.662938,7.665692,2.5643094,-1.0348011,6.152529,0.8300663,2.3625493,8.091994,5.607183,5.0470057,6.824008,4.030885,1
8.111219,6.690114,2.2664788,1.0716313,5.364461,0.9267752,3.3832004,7.0104136,5.421571,5.753834,6.6279016,4.1822033,1
8.280525,6.938349,3.0426905,-0.49990475,5.899268,0.6291569,2.3406432,7.56771,5.925138,5.1044817,6.9278455,3.5274825,1
8.080363,7.266819,2.0471818,1.1972463,5.7463856,1.4877771,3.5953422,7.455435,5.5564513,5.9784393,6.101045,4.687823,1
8.270371,6.9549356,1.7799232,0.8400599,5.7274036,0.67589724,2.9615376,7.4987745,4.817625,6.070746,6.9901085,4.0195446,1
7.999675,7.032417,2.176485,1.3810296,5.441254,1.4482378,3.6115725,7.1516943,5.786985,5.781818,6.036616,4.7025285,0
8.038476,7.7323084,1.4107542,-0.008089231,6.2625504,0.5796892,2.6400127,8.151791,4.6945944,6.3614492,7.2025905,3.686399,1
9.414189,6.6737065,4.178434,0.54736894,6.521306,2.043834,1.5831759,8.06933,4.6864185,5.5690355,7.0073814,4.5927367,1
8.440157,6.6764154,0.46637246,2.0747058,4.893052,0.0060402784,3.7983801,6.5332036,5.6511283,6.3193097,6.8260317,4.450854,0
8.417031,6.9229717,3.1648374,-0.5070334,6.03726,0.7201429,2.3257525,7.6673946,5.7361703,5.1535897,6.9997525,3.5764503,1
9.452592,6.9264483,3.794368,0.7150163,6.733454,2.0879447,1.677011,8.279602,4.691083,5.8361397,6.9013615,4.622632,1
9.337391,6.9962463,3.9870634,0.08754945,6.772494,1.882881,1.5215343,8.350193,5.0234084,5.4615965,6.9238863,4.416903,0
7.752712,7.2981167,2.7756643,-0.70583296,5.8909774,0.825397,1.9771751,7.828507,5.449007,5.0471907,7.005885,4.0584307,1
7.5681725,8.217964,2.1835415,-0.9422668,6.3630357,1.1645217,2.3254213,8.415322,5.9876533,5.2280517,6.360116,4.2691793,0
8.51164,7.5624633,1.5865939,0.50364554,6.321966,0.7725062,2.4244723,8.13038,4.993822,6.4938064,7.0025773,3.6515849,1
8.332123,7.225703,3.0308008,-0.8540338,6.472448,0.7968055,3.0252583,7.9743123,4.9511127,5.4700036,7.2616577,3.6032834,0
8.155943,7.6550136,1.4001147,0.27924767,6.1769433,0.6383302,2.4823956,8.081278,4.910189,6.392778,7.073778,3.6951566,1
8.282497,7.7635922,1.5822357,0.50670314,6.345622,1.0483942,2.776766,8.176096,5.0211315,6.4320545,6.747813,4.020881,0
7.994874,6.6502895,1.8301251,2.100562,4.980822,1.2735406,3.7329662,6.7318244,5.677682,5.983148,6.027676,4.768277,1
8.220454,7.1830754,3.085347,-0.8524028,6.0841994,0.6793321,2.1240723,7.818953,6.04969,4.9922895,6.8657985,3.544637,1
8.09705,7.4664435,2.9631116,-0.60079,6.2207875,1.0934526,2.6329215,7.9243393,6.085449,5.139426,6.520125,3.9567127,1
8.63636,6.7740865,0.026648683,2.2935205,4.81898,-0.31048515,3.8866527,6.4111576,5.6660757,6.4294405,6.981293,4.4836845,1
8.469688,7.676295,3.1367233,-1.0205543,6.6511726,1.0679764,2.4146614,8.290137,6.360387,5.150506,6.4914393,3.6179848,0
7.90168,6.6778293,2.1455863,1.5602205,5.047467,1.1640679,3.6698563,6.755623,5.833841,5.6256113,6.149084,4.633601,0
7.962161,7.7117796,1.6626616,-0.3785401,6.3116465,0.5330781,2.6917543,8.16626,4.700258,6.1258206,7.2770433,3.640563,1
8.073562,7.8179812,2.432433,-1.2790715,6.747105,0.68904567,2.9232068,8.455273,4.877607,5.5600624,7.191778,3.675441,0
8.354508,7.5526443,1.2867063,0.65183157,6.1799083,0.66388106,2.5432475,8.040718,4.7747746,6.6288834,7.0889106,3.6893198,1
9.40025,6.5795627,4.190373,0.27588204,6.505422,1.8144332,1.39448,8.047442,4.703955,5.4225197,7.1739736,4.360634,0
8.779665,7.2338634,3.6011932,-1.0803815,6.4700165,0.8111864,2.2328024,7.9891047,6.722146,4.863977,6.608517,3.2357771,1
9.295162,7.045713,3.3815582,0.45311633,6.77084,1.6943716,1.6784983,8.404553,4.5760508,5.8827763,7.0884604,4.3712473,1
8.669447,7.321342,2.273968,0.07527045,6.311983,0.69399226,2.4734366,7.948873,5.6477504,5.9937725,6.875997,3.3469217,0
7.84679,7.207735,2.7477822,-0.54169965,5.8287315,0.78921694,2.1236882,7.7303653,5.6042004,5.0596776,6.9055004,3.9996123,0
7.86279,6.746876,2.615411,0.6322887,5.3257375,0.9838463,3.3656378,6.9661098,5.75775,5.3564863,6.532956,4.2204356,1
7.932588,6.5753393,2.232549,1.6471404,5.036812,1.1807868,3.645779,6.6453314,5.4869766,5.999917,6.475992,4.320786,1
9.24803,7.1710725,3.0153425,0.46079803,6.8324637,1.5078571,1.9515967,8.443703,4.492028,6.1130433,7.1434393,4.184599,1
7.927585,6.6352973,1.934199,1.8415796,4.9788585,1.152092,3.586825,6.730063,5.639889,5.901455,6.208047,4.6131606,0
7.708543,7.514493,2.843976,-0.8258752,6.058614,1.063737,2.132054,8.01345,5.535224,4.948344,6.789394,4.2936616,0
9.508918,7.166809,3.505126,0.7192464,6.9504666,2.0599391,1.678475,8.521219,4.653322,6.0683284,6.8960676,4.573039,0
8.025605,6.899887,1.8242756,1.7711936,5.2669435,1.2947791,3.5245078,7.041373,5.542717,6.037272,6.1406555,4.6733565,1
8.237883,6.492712,2.422477,0.64391506,5.395588,0.535781,2.9443972,7.0656557,5.2705793,5.5244894,7.006195,3.8618865,0
9.567999,7.279626,3.3622644,0.5586867,7.0891886,1.891098,1.5603042,8.681158,4.614202,6.164203,7.0181127,4.386833,0
8.371847,6.6855974,3.0100117,0.39022535,5.6695986,0.9497889,3.2914903,7.108916,5.8824778,5.468514,6.666521,3.7308042,1
7.9712124,7.944038,2.5839493,-0.48183593,6.4208336,1.4079458,2.7985935,8.22828,6.139108,5.32966,6.173973,4.2976446,0
8.113268,7.0015125,1.5364647,2.2211423,5.303495,1.4907504,3.7863839,7.020094,5.3580213,6.5176272,6.0229063,4.7361736,1
9.592836,6.948157,3.8098736,0.42189115,6.907959,1.8662016,1.3987526,8.466745,4.5469713,5.872259,7.1718407,4.3409333,1
8.609208,6.69895,0.058293667,2.273431,4.7796097,-0.27931425,3.9117155,6.397074,5.6802754,6.496535,6.912206,4.4932246,1
8.643754,7.4213114,2.39153,0.057875227,6.369491,0.8890001,2.5630164,7.995732,5.832198,5.9141326,6.6837115,3.501825,0
7.803217,6.965261,2.8065336,-0.071210444,5.6120305,0.89437586,3.054945,7.2824993,5.647314,5.200204,6.76328,4.043932,0
8.308772,7.5918837,2.1481404,0.39974272,6.3160086,1.336188,2.6790102,8.15313,5.190751,5.934275,6.5678196,4.400232,0
7.611953,7.4773893,2.7784822,-0.92817944,5.983267,0.8897885,2.549934,7.856648,5.6483293,4.933878,6.7957478,4.1129456,1
7.7130246,7.275945,1.8975958,-0.09374354,5.70268,0.45787686,2.539545,7.602719,5.0582757,5.7801065,7.204253,3.6990466,1
8.835614,7.212037,3.6454394,-1.0648459,6.4859047,0.8154563,2.2406168,7.982547,6.7694364,4.86666,6.6060686,3.2110367,0
7.950902,6.7543063,2.0813365,2.025773,5.0726724,1.5276366,3.9290516,6.69644,5.6333823,6.123386,6.0654116,4.6985035,1
9.385529,7.0642242,3.9062874,0.15536258,6.847422,1.9167488,1.4970038,8.431955,4.943246,5.5857415,6.9400816,4.444826,1
9.600479,6.910293,3.8472927,0.41260767,6.8868675,1.8495446,1.3690615,8.444052,4.511551,5.8584657,7.2125034,4.3210135,0
8.280817,6.914247,1.4708258,1.2312695,5.53288,0.60781324,3.2312927,7.26946,4.9881263,6.234838,6.8948035,4.11895,1
8.502455,7.645102,2.3196616,-1.1131873,6.9867096,0.50678957,3.144952,8.544217,4.259037,5.9988704,7.545548,3.373598,0
8.485569,7.243662,3.334268,-0.99401397,6.3128877,0.7691304,2.1810656,7.9447975,6.372864,4.931797,6.725443,3.413782,1
7.904334,6.657358,2.5158894,0.38293585,5.303922,0.63268363,2.910412,7.016287,5.4851546,5.404466,6.921115,3.8864286,1
8.6812315,7.957333,2.3360808,0.11012069,6.7915316,1.4705396,2.7829287,8.423968,6.0175214,6.0391517,6.2285457,3.9381917,1
7.6296782,8.078775,2.2607927,-1.0878694,6.4019775,0.9810305,2.4719818,8.386696,5.676681,5.2551303,6.624384,4.1114,0
7.783128,7.3137207,1.8851359,-0.18114898,5.7842927,0.4268414,2.436806,7.7023673,5.0345864,5.7738395,7.231621,3.6622114,1
8.1810055,7.5983577,1.5796306,0.59144634,6.117342,0.94275546,2.8560302,7.948125,5.1124344,6.344572,6.743085,3.9823954,1
9.499981,7.2755733,3.2005813,0.64357084,7.011781,1.8219813,1.6079316,8.631819,4.570083,6.238664,7.036784,4.359843,0
8.304606,6.6036587,2.425541,0.49331534,5.567678,0.5610465,2.9532213,7.2407837,5.2027764,5.5328546,7.0007763,3.8647642,1
8.221861,7.804203,1.5678304,0.49116424,6.333087,1.0747113,2.8783069,8.160535,5.091837,6.41025,6.6749406,4.05274,1
7.9193783,7.455761,2.3728602,0.23507911,5.897015,1.3013797,2.5674074,7.8201227,5.7098947,5.3886623,6.3543453,4.542314,0
7.853106,7.5844703,1.4990337,-0.062234726,6.0101314,0.4569337,2.5185032,7.9383955,4.8290706,6.155202,7.2541738,3.6386383,1
8.04656,6.6329613,2.18161,0.62407494,5.365619,0.48612538,2.988222,7.0680437,5.1337895,5.7202435,7.098319,3.7721903,0
8.840165,7.2640314,3.3761578,-0.82346535,6.845308,1.0879917,2.5146072,8.331511,5.019925,5.5002766,7.1897926,3.6882555,0
8.110849,6.9753456,1.5381553,2.18716,5.289759,1.4388789,3.720714,7.038132,5.3942103,6.428925,6.0160236,4.7538,0
7.8692765,6.5505233,2.0552762,2.0982203,4.820156,1.3286216,3.9305007,6.464129,5.6759377,6.002252,6.1482415,4.640281,1
8.589677,6.7845473,0.1211557,2.2072906,4.847188,-0.24655756,3.8118079,6.4675517,5.66058,6.3912063,6.993624,4.427878,0
7.787627,7.6640286,2.6105459,-1.2871888,6.3898625,0.7054287,2.6866841,8.2026005,5.2047396,5.17479,7.079844,3.8410358,1
8.343801,6.649365,2.9311028,0.4758941,5.6704745,0.9521767,3.3127747,7.123674,5.4856725,5.6091156,6.834833,3.7926087,1
8.461214,7.672497,2.3747683,-1.1582779,6.9735804,0.5575752,3.1135695,8.543289,4.38436,5.9189153,7.483429,3.4216158,1
7.655782,7.3080454,2.5061028,-0.6244449,5.8011227,0.66565084,2.2083666,7.726736,5.453149,5.174466,7.0292397,3.9390182,1
8.401963,6.822218,3.1901023,-0.28921837,5.9092455,0.7876945,2.3734896,7.5338116,5.7435403,5.159232,6.945729,3.672362,0
8.032824,7.5272994,2.4299114,-1.0432624,6.487198,0.55269825,2.998107,8.171018,4.7545214,5.56814,7.3193808,3.6155689,1
8.129687,6.5905104,1.8790072,2.000886,5.093003,1.1757869,3.7848797,6.756422,5.538327,6.063576,6.1913347,4.568891,1
8.02788,6.823525,1.6410937,2.468236,5.0547695,1.5741822,4.0218596,6.7151475,5.4222846,6.50808,5.949724,4.8097954,0
8.514019,7.0449805,2.2079647,0.65358365,6.001495,0.9498622,2.684684,7.7629495,5.0798793,5.8438406,6.8022113,4.1476817,0
8.557931,6.742806,0.17908701,2.1864352,4.840059,-0.19775364,3.8162649,6.471551,5.673878,6.392081,6.9514637,4.4434032,0
8.20768,7.5440845,3.088399,-1.1547794,6.3480425,0.8290584,2.2312984,8.078617,6.4429655,4.935205,6.59049,3.5514271,0
9.487506,6.661837,4.269491,0.27548808,6.641768,1.9470212,1.3335356,8.171463,4.6563725,5.474281,7.1646395,4.428193,1
8.238978,7.093347,2.9642522,-0.26369676,5.958643,0.90332675,2.6860585,7.6009116,6.043861,5.195889,6.635813,3.7846262,0
9.499186,7.20366,3.2879286,0.69187796,6.968991,1.8683155,1.6054277,8.579126,4.5484047,6.1792116,7.0298815,4.419541,1
7.877661,6.603514,2.1625385,2.015498,4.901118,1.4114717,3.8840585,6.5178833,5.620245,6.0549426,6.197417,4.6005435,1
9.397763,6.6351013,3.8992317,0.2034227,6.551449,1.5561528,1.544137,8.060278,4.611938,5.6599755,7.341406,4.042464,0
7.908612,7.8922935,2.770412,-0.86846894,6.400549,1.2396656,2.6313362,8.210394,6.2633586,5.091276,6.2894173,4.112547,1
8.820787,7.2898045,3.4307265,-0.8360776,6.8476934,1.1457182,2.4697275,8.344565,5.066,5.4586587,7.1469316,3.7403207,0
8.404851,7.635343,2.1313846,0.52002835,6.392953,1.4032321,2.742931,8.188699,5.194698,6.055157,6.5138297,4.3980627,0
9.009848,6.9209595,3.628826,0.23463379,6.4418836,1.6587863,1.619767,8.135025,4.967035,5.416693,6.941354,4.4629087,0
8.594473,7.135426,3.0632324,-0.73327833,6.398881,0.69701797,2.3052907,8.019976,5.5272064,5.307209,7.088066,3.4699116,1
7.936991,6.494602,2.2914002,1.472157,5.027257,1.0158795,3.6360624,6.5889187,5.446294,5.952738,6.6589656,4.1154194,0
7.931139,7.7885504,2.9186718,-0.85218215,6.3633513,1.2596487,2.7176116,8.123474,6.2734556,5.028304,6.29604,4.1169934,0
7.8653355,6.650785,2.3361375,0.7271872,5.245638,0.70109427,3.263468,6.8745956,5.2994432,5.740297,6.970304,3.8624384,1
7.746224,7.5533147,2.6375957,-1.177854,6.2410955,0.6895148,2.6386225,8.069422,5.2596,5.11809,7.0654874,3.8717406,1
8.161196,7.510678,1.7004105,-0.0380647,6.256368,0.5810574,2.8656294,8.035819,4.650952,6.213697,7.228979,3.6789725,1
8.121792,7.0950723,1.6583548,0.51290387,5.7569256,0.4694545,2.80331,7.5710416,4.817666,6.109638,7.1721926,3.7474108,1
7.912739,6.6192007,2.0091588,2.1972184,4.8926954,1.4582716,3.995633,6.5191603,5.6419077,6.1365256,6.0668354,4.7047176,1
7.694685,7.270824,2.7464492,-0.53650004,5.806524,0.869588,2.5283427,7.637044,5.7166758,5.052494,6.785122,4.069595,1
7.7775664,7.693203,2.5856025,-1.295471,6.418053,0.7195325,2.7368095,8.227258,5.1462398,5.2054334,7.087569,3.8623567,0
8.137598,6.6461086,2.6943302,0.25176594,5.4916024,0.5987146,2.826836,7.1313806,5.657383,5.332107,6.9170365,3.7276986,1
7.5458965,8.120347,2.1767585,-0.7869519,6.2526865,1.1632836,2.356796,8.3241825,5.8867326,5.232037,6.3877335,4.3550825,1
7.616608,8.0158205,2.4542367,-0.9064277,6.3206134,1.1784636,2.642077,8.257286,5.9244666,5.1445446,6.398546,4.287459,0
7.919851,6.6818533,2.0997403,0.63876224,5.300782,0.4581606,3.0533757,6.97909,5.114826,5.8687515,7.182529,3.655941,1
8.717117,7.3736424,3.4080627,-0.8418727,6.7958083,1.1954714,2.401761,8.339737,5.2729864,5.369268,7.0047717,3.8139272,1
7.584229,8.02191,2.4159095,-0.78733706,6.2478786,1.2425665,2.5536213,8.229608,6.0068045,5.1264796,6.310293,4.3808,0
7.602522,7.3043466,2.692102,-0.79744875,5.8138995,0.7199243,2.4713023,7.7039456,5.570081,4.969298,6.914684,3.9949248,0
7.9563937,6.6133685,2.5360515,0.34876034,5.3222847,0.582713,2.8479323,7.0467224,5.484512,5.3380065,6.928799,3.8886383,0
8.463622,7.478405,3.2865481,-1.1608318,6.475744,0.85463613,2.2051983,8.126259,6.5479155,4.934464,6.584617,3.4316878,1
9.428123,6.651794,3.9988422,0.26920003,6.5812554,1.7001435,1.3495506,8.145699,4.5600605,5.5938525,7.296085,4.245173,1
8.778939,6.696277,3.1389997,0.015302653,6.01823,0.7103519,2.849132,7.433094,5.876616,5.4517536,6.8823233,3.3307905,1
8.344269,7.683246,2.3330705,-1.1064925,6.8613815,0.58113027,3.0718772,8.472889,4.505663,5.860134,7.4179983,3.4908562,1
8.22986,7.778229,1.5181297,0.6050858,6.3018055,1.0910256,2.9740105,8.113068,5.0656943,6.471172,6.644116,4.0795717,1
9.396343,7.1423955,3.3857393,0.77689457,6.8442426,1.9950927,1.8283892,8.427214,4.6404996,6.0724883,6.877397,4.572398,0
7.95189,7.6940303,1.4302958,-0.04450619,6.1661606,0.5286944,2.567111,8.0815,4.752789,6.279377,7.223513,3.6671798,0
7.8600144,6.54529,2.1332512,2.1165974,4.826981,1.3812716,4.0057836,6.410251,5.6173587,6.104903,6.199308,4.5767293,1
8.354524,6.592659,2.8014848,0.62335163,5.604798,0.8987828,3.3594608,7.0734982,5.4377365,5.6659517,6.835141,3.8125243,0
7.990228,6.686351,1.9582812,2.1571417,5.015193,1.451949,3.9539986,6.6619244,5.645669,6.122648,6.0190907,4.736245,1
8.338603,7.2848024,3.0773187,-0.8426466,6.2287855,0.7562478,2.113952,7.9520173,6.151179,5.039471,6.7683773,3.5455873,0
7.8087144,7.8503366,2.4280748,-1.2353518,6.514914,0.78638625,2.6959467,8.361642,5.190093,5.3197517,6.9914255,3.905502,0
8.320253,7.3805456,1.2987741,0.79711103,6.043858,0.62086505,2.8529813,7.8537974,4.6289554,6.591128,7.116846,3.7701373,1
8.078327,8.062142,2.4309459,-0.43953538,6.5673466,1.41266,2.7381632,8.378652,6.039241,5.528831,6.210152,4.2303967,0
8.1816225,7.3221555,2.9319892,-0.74190474,6.1914096,0.82031244,2.0963886,7.9680448,5.7677555,5.170462,6.9058256,3.7327032,1
8.096372,7.8051176,2.5973623,-1.0547187,6.750881,0.94698554,3.164841,8.405126,5.0454807,5.553792,6.9595714,3.8775797,0
7.955727,7.3787208,1.8480402,-0.22426648,6.0043335,0.45519257,2.6763408,7.8701243,4.8914022,5.835052,7.2002106,3.6926253,1
8.001994,7.515281,1.5334473,0.2919279,6.0005913,0.64473253,2.7198653,7.86846,4.9137645,6.2627945,7.061016,3.7655203,0
7.934866,6.7523828,2.1379366,1.4819734,5.1414356,1.1849619,3.5729365,6.872206,5.800451,5.634086,6.156001,4.6363883,0
8.600592,6.714762,0.13247353,2.2530074,4.8026104,-0.23915963,3.8818758,6.4178715,5.7056446,6.4259086,6.918708,4.489799,1
7.9826574,6.632362,2.686153,0.6903867,5.312148,0.91076535,3.345511,6.875574,5.6592197,5.5229855,6.7119303,3.9742813,0
8.308941,7.683479,3.1073415,-0.9423391,6.65636,1.1987562,2.7339916,8.277181,5.8943033,5.230698,6.5862365,3.8847597,1
8.747329,6.9554176,3.60194,-0.3346445,6.3193088,1.2594466,1.8552386,7.9725637,5.4554105,5.1479893,6.9424233,4.0300474,1
7.77822,8.063499,2.5020952,-0.7912973,6.3987203,1.2922157,2.57447,8.307029,6.170649,5.1965313,6.240538,4.2573442,0
8.60589,7.551121,3.251454,-0.9012787,6.863098,1.2498798,2.3512547,8.490804,5.194314,5.4141445,6.9922776,3.9465535,1
8.133617,7.10289,1.5202265,2.0650823,5.4243975,1.4860864,3.6460245,7.175776,5.3668976,6.504144,6.0294466,4.715376,1
8.260954,7.502517,1.2397838,0.67570007,6.065118,0.60983455,2.6093585,7.935907,4.7724977,6.604863,7.1053705,3.6908982,1
9.242603,7.119612,3.8333094,-0.02140249,6.7863994,1.7868277,1.5787181,8.398421,5.200909,5.439136,6.8529634,4.3524275,1
8.452411,6.91779,2.1093454,0.897939,5.841553,0.94374657,2.7595046,7.6032796,4.86541,5.9559484,6.8809404,4.214923,1
7.9643707,6.674624,2.5389247,0.18332036,5.429441,0.51276845,2.850153,7.115467,5.3198524,5.4415984,7.1182404,3.721582,0
7.910906,7.29545,2.9780645,-0.40630516,5.9361167,1.096541,2.9920342,7.6051493,6.1646953,5.037643,6.4220433,4.0670576,1
7.941431,6.7203546,1.9902238,0.58419585,5.300827,0.38886338,3.0280514,7.011081,5.2108183,5.7196546,7.1389575,3.8466353,1
7.587056,7.5301113,2.4413664,-0.8267675,5.9140797,0.71682185,2.2518923,7.8992434,5.6289034,5.0798144,6.8530087,3.9909396,0
8.941907,6.869701,2.7910497,-0.35721081,6.4540925,0.44979173,2.8814368,7.894282,5.014619,5.7227535,7.341104,3.2012892,1
7.9096355,8.078594,2.3950887,-0.5456869,6.554277,1.3873273,2.9067636,8.385633,5.774075,5.508441,6.3086915,4.3394423,0
7.9381676,6.9559894,2.1130357,1.0648413,5.335222,1.0930336,3.2852502,7.1239176,5.812821,5.528113,6.2704334,4.5859747,0
7.9882946,6.6848583,2.3828402,0.8092855,5.2978206,0.83804566,3.1877387,7.003807,5.6064796,5.4644895,6.6184363,4.1911874,1
8.038313,6.74309,1.7434025,2.0832357,5.088764,1.2862841,3.6669817,6.857627,5.5783415,6.0685325,6.044467,4.7612696,1
8.730913,7.4038577,3.4564607,-0.9307753,6.8370132,1.2013375,2.4109297,8.372686,5.346378,5.3299055,6.983206,3.7898054,1
8.469745,6.7798624,3.085407,-0.19972987,5.8727994,0.6659332,2.5125072,7.443915,5.935755,5.233464,6.8973136,3.473917,1
8.128564,6.9616327,1.819589,1.6425297,5.4576797,1.270556,3.6493866,7.1261377,5.318408,6.2563906,6.3193426,4.4910607,1
7.599854,8.192363,2.2001398,-0.9459596,6.3760333,1.1386985,2.3396082,8.412483,5.965655,5.2422504,6.3946786,4.225128,1
8.765206,6.9347816,3.1305747,-0.40504035,6.242429,0.6814188,2.3455868,7.7945,5.8416786,5.324006,6.9548645,3.3565145,0
8.67656,7.269653,2.2442508,0.122214764,6.2712946,0.6478308,2.4649215,7.908748,5.57666,6.023023,6.9308524,3.31752,1
8.035855,6.7960258,2.369927,1.5677047,5.29605,1.4563572,3.4179027,6.9425807,5.4495096,6.0469766,6.3922024,4.4691567,0
8.063304,7.8568573,2.5063534,-1.3086029,6.7800646,0.7829572,2.782529,8.520246,4.9047813,5.5100517,7.1580048,3.7628675,0
8.047337,6.983039,2.0405297,1.4023339,5.43186,1.3022616,3.465158,7.173003,5.5863013,5.864908,6.205724,4.6078444,1
7.8569517,7.371757,1.906209,-0.24467684,5.894698,0.46378618,2.4897616,7.802237,5.064803,5.7484627,7.168122,3.6892068,0
8.203367,7.459332,2.9936514,-0.8304373,6.3339286,0.9516037,2.1216958,8.105589,5.8473973,5.146729,6.802066,3.8133204,1
8.865172,6.954426,3.8166924,-0.25134382,6.429441,1.4946611,1.6194801,8.097288,5.218691,5.171852,6.984382,4.221839,1
8.449048,6.704818,3.0519907,0.31153938,5.753147,0.9162531,3.213736,7.1781716,5.909754,5.458353,6.6982327,3.6490579,1
7.993107,6.6003146,2.4225256,0.7012557,5.2504244,0.7121562,3.0654461,6.963155,5.5708036,5.4238496,6.7366095,4.0657997,0
8.744885,7.0418024,3.672764,-0.37803388,6.3978753,1.3891982,1.7416356,8.079555,5.40227,5.132965,6.9199977,4.14704,1
7.5040927,8.121261,2.2808352,-1.0353063,6.2741847,1.0823936,2.3234758,8.339115,5.9316893,5.123054,6.4542174,4.244798,0
7.9511013,7.6718135,2.4866781,-1.2645612,6.586198,0.620047,2.9698207,8.294102,4.792439,5.4800625,7.2865376,3.6808906,1
7.896789,6.513546,2.2612455,1.3977827,5.016643,0.90983933,3.5936947,6.573105,5.3586206,5.9978924,6.774239,3.9954402,0
8.517004,7.750463,2.3465178,-1.2618306,7.1149707,0.5049031,3.1927185,8.670417,4.1554856,6.0283384,7.600578,3.3428538,1
8.30956,7.053378,1.5773103,0.81153727,5.7978044,0.53758353,2.8351269,7.5946455,4.770816,6.251095,7.1128287,3.821218,1
